,RMSE
Linear Regression,10.659515359643429
KNN,8.557281810590855
KNN + GridSearchCV,7.384882740854421
Random Forest,4.71044186796703
Random Forest + GridSearchCV,4.504616562269336
XGBoost,4.328552120997665
XGBoost + BayesSearchCV,4.13665462019597
Ensemble,4.123771328786997
